group,x,y,v
G03,5,1,0.436
G03,5,2,0.440
G03,5,3,0.470
G03,5,4,0.426
G03,5,5,0.500
G04,0,0,0.450
G04,0,1,0.436
G04,0,2,0.440
G04,0,3,0.470
G04,0,4,0.426
G04,0,5,0.500
G04,1,0,0.476
G04,1,1,0.350
G04,1,2,0.342
G04,1,3,0.372
G04,1,4,0.440
G04,1,5,0.426
G04,2,0,0.420
G04,2,1,0.382
G04,2,2,0.250
G04,2,3,0.280
G04,2,4,0.372
G04,2,5,0.470
G04,3,0,0.390
G04,3,1,0.352
G04,3,2,0.320
G04,3,3,0.250
G04,3,4,0.342
G04,3,5,0.440
G04,4,0,0.486
G04,4,1,0.360
G04,4,2,0.352
G04,4,3,0.382
G04,4,4,0.350
G04,4,5,0.436
G04,5,0,0.500
G04,5,1,0.486
G04,5,2,0.390
G04,5,3,0.420
G04,5,4,0.476
G04,5,5,0.450
G05,0,0,0.500
G05,0,1,0.486
G05,0,2,0.390
G05,0,3,0.420
G05,0,4,0.476
G05,0,5,0.450
G05,1,0,0.426
G05,1,1,0.400
G05,1,2,0.392
G05,1,3,0.322
G05,1,4,0.390
G05,1,5,0.476
G05,2,0,0.470
G05,2,1,0.332
G05,2,2,0.300
G05,2,3,0.330
G05,2,4,0.322
G05,2,5,0.420
G05,3,0,0.440
G05,3,1,0.402
G05,3,2,0.270
G05,3,3,0.300
G05,3,4,0.392
G05,3,5,0.390
G05,4,0,0.436
G05,4,1,0.410
G05,4,2,0.402
G05,4,3,0.332
G05,4,4,0.400
G05,4,5,0.486
G05,5,0,0.450
G05,5,1,0.436
G05,5,2,0.440
G05,5,3,0.470
G05,5,4,0.426
G05,5,5,0.500
G06,0,0,0.450
G06,0,1,0.436
G06,0,2,0.440
G06,0,3,0.470
G06,0,4,0.426
G06,0,5,0.500
G06,1,0,0.476
G06,1,1,0.350
G06,1,2,0.342
G06,1,3,0.372
G06,1,4,0.440
G06,1,5,0.426
G06,2,0,0.420
G06,2,1,0.382
G06,2,2,0.250
G06,2,3,0.280
G06,2,4,0.372
G06,2,5,0.470
G06,3,0,0.390
G06,3,1,0.352
G06,3,2,0.320
G06,3,3,0.250
G06,3,4,0.342
G06,3,5,0.440
G06,4,0,0.486
G06,4,1,0.360
G06,4,2,0.352
G06,4,3,0.382
G06,4,4,0.350
G06,4,5,0.436
G06,5,0,0.500
G06,5,1,0.486
G06,5,2,0.390
G06,5,3,0.420
G06,5,4,0.476
G06,5,5,0.450
G07,0,0,0.250
G07,0,1,0.280
G07,0,2,0.210
G07,0,3,0.240
G07,0,4,0.270
G07,0,5,0.200
G07,1,0,0.220
G07,1,1,0.250
G07,1,2,0.280
G07,1,3,0.210
G07,1,4,0.240
G07,1,5,0.270
G07,2,0,0.290
G07,2,1,0.220
G07,2,2,0.250
G07,2,3,0.280
G07,2,4,0.210
G07,2,5,0.240
G07,3,0,0.260
G07,3,1,0.290
G07,3,2,0.220
G07,3,3,0.250
G07,3,4,0.280
G07,3,5,0.210
G07,4,0,0.230
G07,4,1,0.260
G07,4,2,0.290
G07,4,3,0.220
G07,4,4,0.250
G07,4,5,0.280
G07,5,0,0.200
G07,5,1,0.230
G07,5,2,0.260
G07,5,3,0.290
G07,5,4,0.220
G07,5,5,0.250
G08,0,0,0.200
G08,0,1,0.230
G08,0,2,0.260
G08,0,3,0.290
G08,0,4,0.220
G08,0,5,0.250
G08,1,0,0.270
G08,1,1,0.200
G08,1,2,0.230
G08,1,3,0.260
G08,1,4,0.290
G08,1,5,0.220
G08,2,0,0.240
G08,2,1,0.270
G08,2,2,0.200
G08,2,3,0.230
G08,2,4,0.260
G08,2,5,0.290
G08,3,0,0.210
G08,3,1,0.240
G08,3,2,0.270
G08,3,3,0.200
G08,3,4,0.230
G08,3,5,0.260
G08,4,0,0.280
G08,4,1,0.210
G08,4,2,0.240
G08,4,3,0.270
G08,4,4,0.200
G08,4,5,0.230
G08,5,0,0.250
G08,5,1,0.280
G08,5,2,0.210
G08,5,3,0.240
G08,5,4,0.270
G08,5,5,0.200
G09,0,0,0.250
G09,0,1,0.280
G09,0,2,0.210
G09,0,3,0.240
G09,0,4,0.270
G09,0,5,0.200
G09,1,0,0.220
G09,1,1,0.250
G09,1,2,0.280
G09,1,3,0.210
G09,1,4,0.240
G09,1,5,0.270
G09,2,0,0.290
G09,2,1,0.220
G09,2,2,0.250
G09,2,3,0.280
G09,2,4,0.210
G09,2,5,0.240
G09,3,0,0.260
G09,3,1,0.290
G09,3,2,0.220
G09,3,3,0.250
G09,3,4,0.280
G09,3,5,0.210
G09,4,0,0.230
G09,4,1,0.260
G09,4,2,0.290
G09,4,3,0.220
G09,4,4,0.250
G09,4,5,0.280
G09,5,0,0.200
G09,5,1,0.230
G09,5,2,0.260
G09,5,3,0.290
G09,5,4,0.220
G09,5,5,0.250
G10,0,0,0.200
G10,0,1,0.230
G10,0,2,0.260
G10,0,3,0.290
G10,0,4,0.220
G10,0,5,0.250
G10,1,0,0.270
G10,1,1,0.200
G10,1,2,0.230
G10,1,3,0.260
G10,1,4,0.290
G10,1,5,0.220
G10,2,0,0.240
G10,2,1,0.270
G10,2,2,0.200
G10,2,3,0.230
G10,2,4,0.260
G10,2,5,0.290
G10,3,0,0.210
G10,3,1,0.240
G10,3,2,0.270
G10,3,3,0.200
G10,3,4,0.230
G10,3,5,0.260
G10,4,0,0.280
G10,4,1,0.210
G10,4,2,0.240
G10,4,3,0.270
G10,4,4,0.200
G10,4,5,0.230
G10,5,0,0.250
G10,5,1,0.280
G10,5,2,0.210
G10,5,3,0.240
G10,5,4,0.270
G10,5,5,0.200
G11,0,0,0.250
G11,0,1,0.280
G11,0,2,0.210
G11,0,3,0.240
G11,0,4,0.270
G11,0,5,0.200
G11,1,0,0.220
G11,1,1,0.250
G11,1,2,0.280
G11,1,3,0.210
G11,1,4,0.240
G11,1,5,0.270
G11,2,0,0.290
G11,2,1,0.220
G11,2,2,0.250
G11,2,3,0.280
G11,2,4,0.210
G11,2,5,0.240
G11,3,0,0.260
G11,3,1,0.290
G11,3,2,0.220
G11,3,3,0.250
G11,3,4,0.280
G11,3,5,0.210
G11,4,0,0.230
G11,4,1,0.260
G11,4,2,0.290
G11,4,3,0.220
G11,4,4,0.250
G11,4,5,0.280
G11,5,0,0.200
G11,5,1,0.230
G11,5,2,0.260
G11,5,3,0.290
G11,5,4,0.220
G11,5,5,0.250
G12,0,0,0.200
G12,0,1,0.230
G12,0,2,0.260
G12,0,3,0.290
G12,0,4,0.220
G12,0,5,0.250
G12,1,0,0.270
G12,1,1,0.200
G12,1,2,0.230
G12,1,3,0.260
G12,1,4,0.290
G12,1,5,0.220
G12,2,0,0.240
G12,2,1,0.270
G12,2,2,0.200
G12,2,3,0.230
G12,2,4,0.260
G12,2,5,0.290
G12,3,0,0.210
G12,3,1,0.240
G12,3,2,0.270
G12,3,3,0.200
G12,3,4,0.230
G12,3,5,0.260
G12,4,0,0.280
G12,4,1,0.210
G12,4,2,0.240
G12,4,3,0.270
G12,4,4,0.200
G12,4,5,0.230
G12,5,0,0.250
G12,5,1,0.280
G12,5,2,0.210
G12,5,3,0.240
G12,5,4,0.270
G12,5,5,0.200
