wafer_id,thickness
W00133,"1,238"
W00134,"1,196"
W00135,"1,207"
W00136,"1,159"
W00137,"1,258"
W00138,"1,258"
W00139,"1,240"
W00140,"1,217"
W00141,"1,209"
W00142,"1,164"
W00143,"1,191"
W00144,"1,219"
W00145,"1,122"
W00146,"1,249"
W00147,"1,212"
W00148,"1,205"
W00149,"1,250"
W00150,"1,154"
W00151,"1,234"
W00152,"1,231"
W00153,"1,160"
W00154,"1,180"
W00155,"1,219"
W00156,"1,202"
W00157,"1,207"
W00158,"1,121"
W00159,"1,256"
W00160,"1,228"
W00161,"1,193"
W00162,"1,152"
W00163,"1,232"
W00164,"1,242"
W00165,"1,229"
W00166,"1,087"
W00167,"1,237"
W00168,"1,212"
W00169,"1,233"
W00170,"1,170"
W00171,"1,088"
W00172,"1,186"
W00173,"1,266"
W00174,"1,172"
W00175,"1,152"
W00176,"1,245"
W00177,"1,207"
W00178,"1,243"
W00179,"1,250"
W00180,"1,237"
W00181,"1,201"
W00182,"1,203"
W00183,"1,111"
W00184,"1,221"
W00185,"1,234"
W00186,"1,244"
W00187,"1,196"
W00188,"1,219"
W00189,"1,159"
W00190,"1,217"
W00191,"1,180"
W00192,"1,121"
W00193,"1,182"
W00194,"1,180"
W00195,"1,179"
W00196,"1,190"
W00197,"1,201"
W00198,"1,166"
W00199,"1,163"
W00200,"1,210"
W00201,"1,186"
W00202,"1,256"
W00203,"1,205"
W00204,"1,183"
W00205,"1,228"
W00206,"1,239"
W00207,"1,186"
W00208,"1,214"
W00209,"1,170"
W00210,"1,227"
W00211,"1,198"
W00212,"1,276"
W00213,"1,169"
W00214,"1,172"
W00215,"1,173"
W00216,"1,125"
W00217,"1,210"
W00218,"1,243"
W00219,"1,175"
W00220,"1,265"
W00221,"1,156"
W00222,"1,162"
W00223,"1,197"
W00224,"1,134"
W00225,"1,188"
W00226,"1,211"
W00227,"1,176"
W00228,"1,178"
W00229,"1,194"
W00230,"1,174"
W00231,"1,188"
W00232,"1,186"
W00233,"1,194"
W00234,"1,221"
W00235,"1,120"
W00236,"1,196"
W00237,"1,264"
W00238,"1,233"
W00239,"1,237"
W00240,"1,301"
W00241,"1,161"
W00242,"1,213"
W00243,"1,196"
W00244,"1,263"
W00245,"1,077"
W00246,"1,197"
W00247,"1,211"
W00248,"1,251"
W00249,"1,182"
W00250,"1,217"
W00251,"1,210"
W00252,"1,162"
W00253,"1,147"
W00254,"1,217"
W00255,"1,140"
W00256,"1,172"
W00257,"1,233"
W00258,"1,228"
W00259,"1,218"
W00260,"1,210"
W00261,"1,266"
W00262,"1,200"
W00263,"1,193"
W00264,"1,143"
W00265,"1,102"
W00266,"1,174"
W00267,"1,237"
W00268,"1,198"
W00269,"1,196"
W00270,"1,140"
W00271,"1,209"
W00272,"1,247"
W00273,"1,270"
W00274,"1,120"
W00275,"1,155"
W00276,"1,226"
W00277,"1,118"
W00278,"1,217"
W00279,"1,217"
W00280,"1,171"
W00281,"1,155"
W00282,"1,223"
W00283,"1,266"
W00284,"1,195"
W00285,"1,202"
W00286,"1,189"
W00287,"1,287"
W00288,"1,172"
W00289,"1,162"
W00290,"1,215"
W00291,"1,139"
W00292,"1,156"
W00293,"1,190"
W00294,"1,201"
W00295,"1,262"
W00296,"1,189"
W00297,"1,179"
W00298,"1,150"
W00299,"1,168"
W00300,"1,206"
W00301,"1,162"
W00302,"1,226"
W00303,"1,175"
W00304,"1,191"
W00305,"1,209"
W00306,"1,154"
W00307,"1,157"
W00308,"1,263"
W00309,"1,170"
W00310,"1,234"
W00311,"1,183"
W00312,"1,213"
W00313,"1,238"
W00314,"1,168"
W00315,"1,131"
W00316,"1,182"
W00317,"1,170"
W00318,"1,192"
W00319,"1,283"
W00320,"1,209"
W00321,"1,245"
W00322,"1,185"
W00323,"1,297"
W00324,"1,212"
W00325,"1,165"
W00326,"1,202"
W00327,"1,204"
W00328,"1,256"
W00329,"1,232"
W00330,"1,188"
W00331,"1,200"
W00332,"1,194"
W00333,"1,174"
W00334,"1,185"
W00335,"1,169"
W00336,"1,222"
W00337,"1,228"
W00338,"1,248"
W00339,"1,178"
W00340,"1,175"
W00341,"1,132"
W00342,"1,216"
W00343,"1,122"
W00344,"1,195"
W00345,"1,202"
W00346,"1,162"
W00347,"1,223"
W00348,"1,199"
W00349,"1,196"
W00350,"1,166"
W00351,"1,214"
W00352,"1,265"
W00353,"1,210"
W00354,"1,285"
W00355,"1,172"
W00356,"1,153"
W00357,"1,185"
W00358,"1,224"
W00359,"1,207"
W00360,"1,214"
W00361,"1,258"
W00362,"1,162"
W00363,"1,191"
W00364,"1,147"
W00365,"1,233"
W00366,"1,219"
W00367,"1,218"
W00368,"1,219"
W00369,"1,212"
W00370,"1,192"
W00371,"1,168"
W00372,"1,146"
W00373,"1,170"
W00374,"1,258"
W00375,"1,184"
W00376,"1,236"
W00377,"1,210"
W00378,"1,238"
W00379,"1,250"
W00380,"1,147"
W00381,"1,230"
W00382,"1,229"
W00383,"1,109"
W00384,"1,219"
W00385,"1,236"
W00386,"1,232"
W00387,"1,264"
W00388,"1,202"
W00389,"1,131"
W00390,"1,256"
W00391,"1,235"
W00392,"1,246"
W00393,"1,302"
W00394,"1,211"
W00395,"1,198"
W00396,"1,209"
W00397,"1,224"
W00398,"1,207"
W00399,"1,179"
W00400,"1,214"
W00401,"1,204"
W00402,"1,230"
W00403,"1,157"
W00404,"1,274"
W00405,"1,217"
W00406,"1,246"
W00407,"1,212"
W00408,"1,151"
W00409,"1,203"
W00410,"1,185"
W00411,"1,197"
W00412,"1,145"
W00413,"1,223"
W00414,"1,253"
W00415,"1,161"
W00416,"1,218"
W00417,"1,250"
W00418,"1,212"
W00419,"1,209"
W00420,"1,174"
W00421,"1,269"
W00422,"1,208"
W00423,"1,175"
W00424,"1,207"
W00425,"1,205"
W00426,"1,251"
W00427,"1,139"
W00428,"1,213"
W00429,"1,169"
W00430,"1,192"
W00431,"1,206"
W00432,"1,181"
W00433,"1,237"
W00434,"1,223"
W00435,"1,154"
W00436,"1,231"
W00437,"1,181"
W00438,"1,167"
W00439,"1,170"
W00440,"1,237"
W00441,"1,202"
W00442,"1,203"
W00443,"1,164"
W00444,"1,248"
W00445,"1,240"
W00446,"1,207"
W00447,"1,173"
W00448,"1,269"
W00449,"1,194"
W00450,"1,223"
W00451,"1,168"
W00452,"1,124"
W00453,"1,148"
W00454,"1,187"
W00455,"1,180"
W00456,"1,250"
W00457,"1,184"
W00458,"1,158"
W00459,"1,209"
W00460,"1,190"
W00461,"1,250"
W00462,"1,130"
W00463,"1,198"
W00464,"1,218"
W00465,"1,249"
W00466,"1,190"
W00467,"1,356"
W00468,"1,252"
W00469,"1,152"
W00470,"1,177"
W00471,"1,276"
W00472,"1,172"
W00473,"1,211"
W00474,"1,284"
W00475,"1,242"
W00476,"1,166"
W00477,"1,202"
W00478,"1,161"
W00479,"1,247"
W00480,"1,151"
W00481,"1,248"
W00482,"1,135"
W00483,"1,158"
W00484,"1,173"
W00485,"1,152"
W00486,"1,168"
W00487,"1,220"
W00488,"1,201"
W00489,"1,211"
W00490,"1,174"
W00491,"1,223"
W00492,"1,126"
W00493,"1,214"
W00494,"1,230"
W00495,"1,141"
W00496,"1,177"
W00497,"1,217"
W00498,"1,189"
W00499,"1,213"
W00500,"1,259"
W00501,"1,199"
W00502,"1,185"
W00503,"1,162"
W00504,"1,104"
W00505,"1,203"
W00506,"1,163"
W00507,"1,148"
W00508,"1,198"
W00509,"1,145"
W00510,"1,195"
W00511,"1,196"
W00512,"1,156"
W00513,"1,158"
W00514,"1,269"
W00515,"1,136"
W00516,"1,130"
W00517,"1,155"
W00518,"1,237"
W00519,"1,157"
W00520,"1,219"
W00521,"1,191"
W00522,"1,175"
W00523,"1,193"
W00524,"1,215"
W00525,"1,162"
W00526,"1,214"
W00527,"1,147"
W00528,"1,203"
W00529,"1,291"
W00530,"1,253"
W00531,"1,200"
W00532,"1,164"
W00533,"1,176"
W00534,"1,191"
W00535,"1,154"
W00536,"1,138"
W00537,"1,175"
W00538,"1,249"
W00539,"1,105"
W00540,"1,216"
W00541,"1,259"
W00542,"1,102"
W00543,"1,160"
W00544,"1,156"
W00545,"1,284"
W00546,"1,219"
W00547,"1,235"
W00548,"1,254"
W00549,"1,166"
W00550,"1,214"
W00551,"1,132"
W00552,"1,185"
W00553,"1,188"
W00554,"1,242"
W00555,"1,177"
W00556,"1,217"
W00557,"1,224"
W00558,"1,212"
W00559,"1,205"
W00560,"1,250"
W00561,"1,234"
W00562,"1,169"
W00563,"1,150"
W00564,"1,206"
W00565,"1,143"
W00566,"1,187"
W00567,"1,238"
W00568,"1,134"
W00569,"1,246"
W00570,"1,220"
W00571,"1,203"
W00572,"1,243"
W00573,"1,166"
W00574,"1,066"
W00575,"1,271"
W00576,"1,202"
W00577,"1,187"
W00578,"1,213"
W00579,"1,279"
W00580,"1,181"
W00581,"1,123"
W00582,"1,277"
W00583,"1,252"
W00584,"1,259"
W00585,"1,227"
W00586,"1,237"
W00587,"1,176"
W00588,"1,171"
W00589,"1,249"
W00590,"1,224"
W00591,"1,232"
W00592,"1,160"
W00593,"1,215"
W00594,"1,109"
W00595,"1,266"
W00596,"1,297"
W00597,"1,196"
W00598,"1,251"
W00599,"1,247"
W00600,"1,227"
W00601,"1,189"
W00602,"1,164"
W00603,"1,242"
W00604,"1,146"
W00605,"1,223"
W00606,"1,249"
W00607,"1,201"
W00608,"1,152"
W00609,"1,178"
W00610,"1,151"
W00611,"1,316"
W00612,"1,286"
W00613,"1,185"
W00614,"1,179"
W00615,"1,210"
W00616,"1,203"
W00617,"1,264"
W00618,"1,224"
W00619,"1,163"
W00620,"1,160"
W00621,"1,117"
W00622,"1,242"
W00623,"1,189"
W00624,"1,282"
W00625,"1,236"
W00626,"1,175"
W00627,"1,182"
W00628,"1,186"
W00629,"1,157"
W00630,"1,249"
W00631,"1,174"
W00632,"1,124"
W00633,"1,275"
W00634,"1,237"
W00635,"1,207"
W00636,"1,143"
W00637,"1,200"
W00638,"1,172"
W00639,"1,135"
W00640,"1,223"
W00641,"1,177"
W00642,"1,200"
W00643,"1,097"
W00644,"1,166"
W00645,"1,181"
W00646,"1,184"
W00647,"1,294"
W00648,"1,123"
W00649,"1,222"
W00650,"1,170"
W00651,"1,224"
W00652,"1,230"
W00653,"1,120"
W00654,"1,189"
W00655,"1,238"
W00656,"1,210"
W00657,"1,175"
W00658,"1,166"
W00659,"1,110"
W00660,"1,285"
W00661,"1,198"
W00662,"1,203"
W00663,"1,168"
W00664,"1,168"
W00665,"1,220"
W00666,"1,249"
W00667,"1,183"
W00668,"1,206"
W00669,"1,240"
W00670,"1,205"
W00671,"1,245"
W00672,"1,223"
W00673,"1,271"
W00674,"1,176"
W00675,"1,222"
W00676,"1,185"
W00677,"1,180"
W00678,"1,210"
W00679,"1,239"
W00680,"1,174"
W00681,"1,195"
W00682,"1,237"
W00683,"1,239"
W00684,"1,260"
W00685,"1,221"
W00686,"1,230"
W00687,"1,164"
W00688,"1,212"
W00689,"1,260"
W00690,"1,187"
W00691,"1,272"
W00692,"1,194"
W00693,"1,140"
W00694,"1,187"
W00695,"1,219"
W00696,"1,193"
W00697,"1,128"
W00698,"1,203"
W00699,"1,241"
W00700,"1,279"
W00701,"1,300"
W00702,"1,192"
W00703,"1,123"
W00704,"1,114"
W00705,"1,103"
W00706,"1,245"
W00707,"1,210"
W00708,"1,125"
W00709,"1,238"
W00710,"1,137"
W00711,"1,180"
W00712,"1,222"
W00713,"1,153"
W00714,"1,216"
W00715,"1,159"
W00716,"1,212"
W00717,"1,142"
W00718,"1,208"
W00719,"1,174"
W00720,"1,192"
W00721,"1,211"
W00722,"1,228"
W00723,"1,150"
W00724,"1,217"
W00725,"1,192"
W00726,"1,126"
W00727,"1,213"
W00728,"1,194"
W00729,"1,243"
W00730,"1,191"
W00731,"1,121"
W00732,"1,217"
W00733,"1,275"
W00734,"1,204"
W00735,"1,100"
W00736,"1,193"
W00737,"1,166"
W00738,"1,210"
W00739,"1,150"
W00740,"1,238"
W00741,"1,254"
W00742,"1,176"
W00743,"1,205"
W00744,"1,241"
W00745,"1,220"
W00746,"1,198"
W00747,"1,182"
W00748,"1,205"
W00749,"1,184"
W00750,"1,209"
W00751,"1,261"
W00752,"1,260"
W00753,"1,220"
W00754,"1,160"
W00755,"1,204"
W00756,"1,174"
W00757,"1,258"
W00758,"1,256"
W00759,"1,210"
W00760,"1,130"
W00761,"1,245"
W00762,"1,319"
W00763,"1,225"
W00764,"1,252"
W00765,"1,212"
W00766,"1,183"
W00767,"1,183"
W00768,"1,105"
W00769,"1,229"
W00770,"1,201"
W00771,"1,207"
W00772,"1,182"
W00773,"1,206"
W00774,"1,148"
W00775,"1,240"
W00776,"1,195"
W00777,"1,200"
W00778,"1,176"
W00779,"1,236"
W00780,"1,233"
W00781,"1,260"
W00782,"1,110"
W00783,"1,215"
W00784,"1,147"
W00785,"1,226"
W00786,"1,191"
W00787,"1,251"
W00788,"1,226"
W00789,"1,210"
W00790,"1,212"
W00791,"1,292"
W00792,"1,160"
W00793,"1,098"
W00794,"1,230"
W00795,"1,179"
W00796,"1,235"
W00797,"1,198"
W00798,"1,263"
W00799,"1,151"
W00800,"1,196"
W00801,"1,107"
W00802,"1,278"
W00803,"1,192"
W00804,"1,147"
W00805,"1,164"
W00806,"1,210"
W00807,"1,158"
W00808,"1,281"
W00809,"1,171"
W00810,"1,135"
W00811,"1,161"
W00812,"1,184"
W00813,"1,212"
W00814,"1,183"
W00815,"1,149"
W00816,"1,164"
W00817,"1,238"
W00818,"1,208"
W00819,"1,169"
W00820,"1,125"
W00821,"1,212"
W00822,"1,210"
W00823,"1,260"
W00824,"1,327"
W00825,"1,170"
W00826,"1,213"
W00827,"1,230"
W00828,"1,176"
W00829,"1,267"
W00830,"1,061"
W00831,"1,181"
W00832,"1,228"
W00833,"1,171"
W00834,"1,212"
W00835,"1,220"
W00836,"1,210"
W00837,"1,284"
W00838,"1,113"
W00839,"1,205"
W00840,"1,222"
W00841,"1,253"
W00842,"1,256"
W00843,"1,179"
W00844,"1,141"
W00845,"1,116"
W00846,"1,198"
W00847,"1,176"
W00848,"1,248"
W00849,"1,178"
W00850,"1,245"
W00851,"1,206"
W00852,"1,284"
W00853,"1,136"
W00854,"1,184"
W00855,"1,165"
W00856,"1,222"
W00857,"1,167"
W00858,"1,197"
W00859,"1,275"
W00860,"1,189"
W00861,"1,248"
W00862,"1,191"
W00863,"1,266"
W00864,"1,227"
W00865,"1,175"
W00866,"1,218"
W00867,"1,082"
W00868,"1,150"
W00869,"1,187"
W00870,"1,241"
W00871,"1,262"
W00872,"1,199"
W00873,"1,216"
W00874,"1,180"
W00875,"1,191"
W00876,"1,184"
W00877,"1,122"
W00878,"1,291"
W00879,"1,168"
W00880,"1,220"
W00881,"1,209"
W00882,"1,252"
W00883,"1,281"
W00884,"1,169"
W00885,"1,247"
W00886,"1,281"
W00887,"1,221"
W00888,"1,278"
W00889,"1,277"
W00890,"1,262"
W00891,"1,195"
W00892,"1,270"
W00893,"1,214"
W00894,"1,232"
W00895,"1,130"
W00896,"1,203"
W00897,"1,229"
W00898,"1,198"
W00899,"1,165"
W00900,"1,238"
W00901,"1,206"
W00902,"1,250"
W00903,"1,324"
W00904,"1,211"
W00905,"1,155"
W00906,"1,250"
W00907,"1,136"
W00908,"1,271"
W00909,"1,182"
W00910,"1,208"
W00911,"1,226"
W00912,"1,209"
W00913,"1,203"
W00914,"1,192"
W00915,"1,186"
W00916,"1,199"
W00917,"1,187"
W00918,"1,189"
W00919,"1,235"
W00920,"1,247"
W00921,"1,299"
W00922,"1,191"
W00923,"1,220"
W00924,"1,221"
W00925,"1,223"
W00926,"1,300"
W00927,"1,197"
W00928,"1,234"
W00929,"1,215"
W00930,"1,172"
W00931,"1,175"
W00932,"1,270"
W00933,"1,204"
W00934,"1,201"
W00935,"1,093"
W00936,"1,239"
W00937,"1,269"
W00938,"1,282"
W00939,"1,125"
W00940,"1,221"
W00941,"1,235"
W00942,"1,210"
W00943,"1,222"
W00944,"1,204"
W00945,"1,206"
W00946,"1,251"
W00947,"1,154"
W00948,"1,289"
W00949,"1,179"
W00950,"1,162"
W00951,"1,217"
W00952,"1,241"
W00953,"1,152"
W00954,"1,188"
W00955,"1,134"
W00956,"1,236"
W00957,"1,234"
W00958,"1,231"
W00959,"1,228"
W00960,"1,218"
W00961,"1,224"
W00962,"1,202"
W00963,"1,231"
W00964,"1,144"
W00965,"1,186"
W00966,"1,170"
W00967,"1,207"
W00968,"1,175"
W00969,"1,209"
W00970,"1,154"
W00971,"1,204"
W00972,"1,213"
W00973,"1,189"
W00974,"1,209"
W00975,"1,146"
W00976,"1,236"
W00977,"1,224"
W00978,"1,189"
W00979,"1,235"
W00980,"1,170"
W00981,"1,198"
W00982,"1,200"
W00983,"1,206"
W00984,"1,138"
W00985,"1,172"
W00986,"1,195"
W00987,"1,206"
W00988,"1,149"
W00989,"1,190"
W00990,"1,217"
W00991,"1,175"
W00992,"1,239"
W00993,"1,296"
W00994,"1,231"
W00995,"1,187"
W00996,"1,325"
W00997,"1,088"
W00998,"1,205"
W00999,"1,195"
W01000,"1,151"
W01001,"1,198"
W01002,"1,172"
W01003,"1,169"
W01004,"1,184"
W01005,"1,127"
W01006,"1,214"
W01007,"1,211"
W01008,"1,150"
W01009,"1,163"
W01010,"1,195"
W01011,"1,228"
W01012,"1,169"
W01013,"1,264"
W01014,"1,145"
W01015,"1,290"
W01016,"1,207"
W01017,"1,222"
W01018,"1,173"
W01019,"1,183"
W01020,"1,211"
W01021,"1,137"
W01022,"1,150"
W01023,"1,157"
W01024,"1,143"
W01025,"1,201"
W01026,"1,113"
W01027,"1,214"
W01028,"1,195"
W01029,"1,228"
W01030,"1,218"
W01031,"1,239"
W01032,"1,223"
W01033,"1,178"
W01034,"1,234"
W01035,"1,246"
W01036,"1,227"
W01037,"1,149"
W01038,"1,181"
W01039,"1,264"
W01040,"1,217"
W01041,"1,125"
W01042,"1,193"
W01043,"1,207"
W01044,"1,181"
W01045,"1,222"
W01046,"1,126"
W01047,"1,207"
W01048,"1,174"
W01049,"1,175"
W01050,"1,215"
W01051,"1,143"
W01052,"1,206"
W01053,"1,226"
W01054,"1,248"
W01055,"1,176"
W01056,"1,157"
W01057,"1,233"
W01058,"1,185"
W01059,"1,206"
W01060,"1,185"
W01061,"1,148"
W01062,"1,232"
W01063,"1,193"
W01064,"1,206"
W01065,"1,168"
W01066,"1,212"
W01067,"1,169"
W01068,"1,161"
W01069,"1,159"
W01070,"1,188"
W01071,"1,140"
W01072,"1,283"
W01073,"1,135"
W01074,"1,125"
W01075,"1,188"
W01076,"1,154"
W01077,"1,300"
W01078,"1,268"
W01079,"1,291"
W01080,"1,216"
W01081,"1,303"
W01082,"1,181"
W01083,"1,173"
W01084,"1,215"
W01085,"1,257"
W01086,"1,278"
W01087,"1,146"
W01088,"1,208"
W01089,"1,215"
W01090,"1,296"
W01091,"1,167"
W01092,"1,216"
W01093,"1,114"
W01094,"1,208"
W01095,"1,223"
W01096,"1,232"
W01097,"1,255"
W01098,"1,209"
W01099,"1,241"
W01100,"1,273"
W01101,"1,174"
W01102,"1,150"
W01103,"1,225"
W01104,"1,112"
W01105,"1,196"
W01106,"1,203"
W01107,"1,146"
W01108,"1,145"
W01109,"1,148"
W01110,"1,271"
W01111,"1,212"
W01112,"1,189"
W01113,"1,231"
W01114,"1,228"
W01115,"1,225"
W01116,"1,219"
W01117,"1,193"
W01118,"1,173"
W01119,"1,201"
W01120,"1,131"
W01121,"1,214"
W01122,"1,214"
W01123,"1,240"
W01124,"1,181"
W01125,"1,273"
W01126,"1,200"
W01127,"1,151"
W01128,"1,200"
W01129,"1,136"
W01130,"1,140"
W01131,"1,159"
W01132,"1,207"
W01133,"1,176"
W01134,"1,194"
W01135,"1,195"
W01136,"1,158"
W01137,"1,223"
W01138,"1,161"
W01139,"1,187"
W01140,"1,249"
W01141,"1,156"
W01142,"1,228"
W01143,"1,261"
W01144,"1,175"
W01145,"1,141"
W01146,"1,117"
W01147,"1,192"
W01148,"1,236"
W01149,"1,145"
W01150,"1,210"
W01151,"1,203"
W01152,"1,198"
W01153,"1,309"
W01154,"1,222"
W01155,"1,176"
W01156,"1,249"
W01157,"1,303"
W01158,"1,216"
W01159,"1,270"
W01160,"1,205"
W01161,"1,241"
W01162,"1,214"
W01163,"1,176"
W01164,"1,167"
W01165,"1,204"
W01166,"1,246"
W01167,"1,183"
W01168,"1,160"
W01169,"1,193"
W01170,"1,270"
W01171,"1,220"
W01172,"1,180"
W01173,"1,179"
W01174,"1,207"
W01175,"1,201"
W01176,"1,164"
W01177,"1,218"
W01178,"1,218"
W01179,"1,220"
W01180,"1,178"
W01181,"1,186"
W01182,"1,221"
W01183,"1,165"
W01184,"1,192"
W01185,"1,164"
W01186,"1,189"
W01187,"1,202"
W01188,"1,152"
W01189,"1,224"
W01190,"1,132"
W01191,"1,158"
W01192,"1,178"
W01193,"1,237"
W01194,"1,225"
W01195,"1,120"
W01196,"1,207"
W01197,"1,232"
W01198,"1,162"
W01199,"1,128"
